Image,Angle (degrees)
grayscale_Img000000.tif,6.34
grayscale_Img000001.tif,6.79
grayscale_Img000002.tif,7.09
grayscale_Img000003.tif,6.94
grayscale_Img000004.tif,6.94
grayscale_Img000005.tif,7.54
grayscale_Img000006.tif,6.79
grayscale_Img000007.tif,6.64
grayscale_Img000008.tif,7.69
grayscale_Img000009.tif,7.24
grayscale_Img000010.tif,7.99
grayscale_Img000011.tif,7.24
grayscale_Img000012.tif,6.19
grayscale_Img000013.tif,6.94
grayscale_Img000014.tif,7.09
grayscale_Img000015.tif,7.09
grayscale_Img000016.tif,7.39
grayscale_Img000017.tif,7.84
grayscale_Img000018.tif,7.24
grayscale_Img000019.tif,7.24
grayscale_Img000020.tif,6.94
grayscale_Img000021.tif,7.54
grayscale_Img000022.tif,7.38
grayscale_Img000023.tif,7.23
grayscale_Img000024.tif,7.09
grayscale_Img000025.tif,7.54
grayscale_Img000026.tif,8.29
grayscale_Img000027.tif,7.99
grayscale_Img000028.tif,7.09
grayscale_Img000029.tif,6.78
grayscale_Img000030.tif,6.48
grayscale_Img000031.tif,6.18
grayscale_Img000032.tif,6.64
grayscale_Img000033.tif,6.34
grayscale_Img000034.tif,6.64
grayscale_Img000035.tif,6.19
grayscale_Img000036.tif,7.84
grayscale_Img000037.tif,6.04
grayscale_Img000038.tif,5.88
grayscale_Img000039.tif,6.64
grayscale_Img000040.tif,6.49
grayscale_Img000041.tif,7.09
grayscale_Img000042.tif,7.53
grayscale_Img000043.tif,6.94
grayscale_Img000044.tif,7.24
grayscale_Img000045.tif,6.94
grayscale_Img000046.tif,7.24
grayscale_Img000047.tif,7.09
grayscale_Img000048.tif,7.24
grayscale_Img000049.tif,7.24
grayscale_Img000050.tif,7.09
grayscale_Img000051.tif,7.54
grayscale_Img000052.tif,6.93
grayscale_Img000053.tif,6.64
grayscale_Img000054.tif,6.49
grayscale_Img000055.tif,6.49
grayscale_Img000056.tif,7.24
grayscale_Img000057.tif,7.69
grayscale_Img000058.tif,7.39
grayscale_Img000059.tif,7.24
grayscale_Img000060.tif,6.49
grayscale_Img000061.tif,6.19
grayscale_Img000062.tif,6.79
grayscale_Img000063.tif,8.29
grayscale_Img000064.tif,7.84
grayscale_Img000065.tif,7.39
grayscale_Img000066.tif,7.54
grayscale_Img000067.tif,8.14
grayscale_Img000068.tif,6.94
grayscale_Img000069.tif,6.94
grayscale_Img000070.tif,7.24
grayscale_Img000071.tif,6.49
grayscale_Img000072.tif,7.09
grayscale_Img000073.tif,7.09
grayscale_Img000074.tif,6.49
grayscale_Img000075.tif,7.54
grayscale_Img000076.tif,7.09
