Image,Angle (degrees)
grayscale_Img000000.tif,14.94
grayscale_Img000001.tif,15.24
grayscale_Img000002.tif,15.1
grayscale_Img000003.tif,15.56
grayscale_Img000004.tif,15.57
grayscale_Img000005.tif,12.75
grayscale_Img000006.tif,13.06
grayscale_Img000007.tif,13.54
grayscale_Img000008.tif,12.91
grayscale_Img000009.tif,12.6
grayscale_Img000010.tif,12.45
grayscale_Img000011.tif,12.9
grayscale_Img000012.tif,13.2
grayscale_Img000013.tif,12.88
grayscale_Img000014.tif,11.01
grayscale_Img000015.tif,11.17
grayscale_Img000016.tif,11.48
grayscale_Img000017.tif,11.48
grayscale_Img000018.tif,11.79
grayscale_Img000019.tif,11.94
grayscale_Img000020.tif,11.48
grayscale_Img000021.tif,12.56
grayscale_Img000022.tif,12.43
grayscale_Img000023.tif,13.2
grayscale_Img000024.tif,13.07
grayscale_Img000025.tif,13.85
grayscale_Img000026.tif,13.86
grayscale_Img000027.tif,14.48
grayscale_Img000028.tif,15.56
grayscale_Img000029.tif,15.56
grayscale_Img000030.tif,13.37
grayscale_Img000031.tif,13.52
grayscale_Img000032.tif,13.36
grayscale_Img000033.tif,13.51
grayscale_Img000034.tif,13.81
grayscale_Img000035.tif,14.12
grayscale_Img000036.tif,14.28
grayscale_Img000037.tif,14.13
grayscale_Img000038.tif,14.9
grayscale_Img000039.tif,14.15
grayscale_Img000040.tif,14.15
grayscale_Img000041.tif,13.37
grayscale_Img000042.tif,12.11
grayscale_Img000043.tif,12.58
grayscale_Img000044.tif,12.73
grayscale_Img000045.tif,12.73
grayscale_Img000046.tif,12.89
grayscale_Img000047.tif,13.36
grayscale_Img000048.tif,13.67
grayscale_Img000049.tif,13.83
grayscale_Img000050.tif,13.21
grayscale_Img000051.tif,12.9
grayscale_Img000052.tif,12.44
grayscale_Img000053.tif,11.81
grayscale_Img000054.tif,12.43
grayscale_Img000055.tif,12.73
grayscale_Img000056.tif,13.04
grayscale_Img000057.tif,13.04
grayscale_Img000058.tif,12.59
grayscale_Img000059.tif,12.29
grayscale_Img000060.tif,12.6
grayscale_Img000061.tif,12.28
