Image,Angle (degrees)
grayscale_Img000187.tif,16.12
grayscale_Img000188.tif,16.27
grayscale_Img000189.tif,15.4
grayscale_Img000190.tif,14.65
grayscale_Img000191.tif,14.51
grayscale_Img000192.tif,14.81
grayscale_Img000193.tif,14.65
grayscale_Img000194.tif,14.94
grayscale_Img000195.tif,15.09
grayscale_Img000196.tif,15.38
grayscale_Img000197.tif,15.07
grayscale_Img000198.tif,14.94
grayscale_Img000199.tif,14.64
grayscale_Img000200.tif,14.92
grayscale_Img000201.tif,14.95
grayscale_Img000202.tif,14.5
grayscale_Img000203.tif,14.64
grayscale_Img000204.tif,14.78
grayscale_Img000205.tif,14.77
grayscale_Img000206.tif,15.06
grayscale_Img000207.tif,15.34
grayscale_Img000208.tif,16.06
grayscale_Img000209.tif,13.77
grayscale_Img000210.tif,13.62
grayscale_Img000211.tif,13.77
grayscale_Img000212.tif,14.22
grayscale_Img000213.tif,14.37
grayscale_Img000214.tif,14.95
grayscale_Img000215.tif,14.64
grayscale_Img000216.tif,14.79
grayscale_Img000217.tif,15.23
grayscale_Img000218.tif,15.66
grayscale_Img000219.tif,16.37
grayscale_Img000220.tif,16.66
grayscale_Img000221.tif,15.68
grayscale_Img000222.tif,15.09
grayscale_Img000223.tif,15.07
grayscale_Img000224.tif,14.77
grayscale_Img000225.tif,15.38
grayscale_Img000226.tif,14.79
grayscale_Img000227.tif,13.92
grayscale_Img000228.tif,13.91
grayscale_Img000229.tif,14.52
grayscale_Img000230.tif,13.49
grayscale_Img000231.tif,14.09
grayscale_Img000232.tif,14.37
grayscale_Img000233.tif,14.97
grayscale_Img000234.tif,14.8
grayscale_Img000235.tif,15.83
grayscale_Img000236.tif,16.53
grayscale_Img000237.tif,16.35
grayscale_Img000238.tif,15.23
grayscale_Img000239.tif,14.78
grayscale_Img000240.tif,14.91
grayscale_Img000241.tif,14.5
grayscale_Img000242.tif,14.64
grayscale_Img000243.tif,14.06
grayscale_Img000244.tif,14.07
grayscale_Img000245.tif,14.51
grayscale_Img000246.tif,13.19
grayscale_Img000247.tif,14.81
grayscale_Img000248.tif,14.95
grayscale_Img000249.tif,14.8
grayscale_Img000250.tif,14.06
grayscale_Img000251.tif,14.95
grayscale_Img000252.tif,14.96
grayscale_Img000253.tif,14.35
grayscale_Img000254.tif,14.2
grayscale_Img000255.tif,14.04
grayscale_Img000256.tif,14.19
grayscale_Img000257.tif,14.33
grayscale_Img000258.tif,14.64
grayscale_Img000259.tif,14.5
grayscale_Img000260.tif,14.79
