Image,Angle (degrees)
grayscale_Img000000.tif,6.19
grayscale_Img000001.tif,5.58
grayscale_Img000002.tif,6.04
grayscale_Img000003.tif,6.19
grayscale_Img000004.tif,5.88
grayscale_Img000005.tif,5.73
grayscale_Img000006.tif,6.79
grayscale_Img000007.tif,5.89
grayscale_Img000008.tif,6.49
grayscale_Img000009.tif,6.19
grayscale_Img000010.tif,5.58
grayscale_Img000011.tif,5.43
grayscale_Img000012.tif,6.34
grayscale_Img000013.tif,6.49
grayscale_Img000014.tif,6.94
grayscale_Img000015.tif,6.19
grayscale_Img000016.tif,6.04
grayscale_Img000017.tif,5.58
grayscale_Img000018.tif,5.73
grayscale_Img000019.tif,6.04
grayscale_Img000020.tif,6.49
grayscale_Img000021.tif,5.58
grayscale_Img000022.tif,5.43
grayscale_Img000023.tif,6.19
grayscale_Img000024.tif,6.04
grayscale_Img000025.tif,5.58
grayscale_Img000026.tif,6.64
grayscale_Img000027.tif,6.03
grayscale_Img000028.tif,6.78
grayscale_Img000029.tif,6.18
grayscale_Img000030.tif,5.58
grayscale_Img000031.tif,5.58
grayscale_Img000032.tif,5.58
grayscale_Img000033.tif,6.19
grayscale_Img000034.tif,5.89
grayscale_Img000035.tif,5.43
grayscale_Img000036.tif,6.04
grayscale_Img000037.tif,6.03
grayscale_Img000038.tif,5.88
grayscale_Img000039.tif,5.88
grayscale_Img000040.tif,5.43
grayscale_Img000041.tif,5.13
grayscale_Img000042.tif,5.13
grayscale_Img000043.tif,5.43
grayscale_Img000044.tif,5.58
grayscale_Img000045.tif,5.88
grayscale_Img000046.tif,6.03
grayscale_Img000047.tif,6.94
grayscale_Img000048.tif,6.33
grayscale_Img000049.tif,6.49
grayscale_Img000050.tif,6.04
grayscale_Img000051.tif,5.88
grayscale_Img000052.tif,5.58
grayscale_Img000053.tif,5.13
grayscale_Img000054.tif,5.73
grayscale_Img000055.tif,5.58
grayscale_Img000056.tif,6.34
grayscale_Img000057.tif,6.04
grayscale_Img000058.tif,5.73
grayscale_Img000059.tif,5.58
grayscale_Img000060.tif,5.88
grayscale_Img000061.tif,5.88
grayscale_Img000062.tif,5.28
grayscale_Img000063.tif,5.13
grayscale_Img000064.tif,5.43
grayscale_Img000065.tif,6.19
grayscale_Img000066.tif,5.28
grayscale_Img000067.tif,5.28
grayscale_Img000068.tif,5.73
grayscale_Img000069.tif,6.04
grayscale_Img000070.tif,6.64
grayscale_Img000071.tif,5.88
grayscale_Img000072.tif,5.73
grayscale_Img000073.tif,5.73
grayscale_Img000074.tif,5.88
grayscale_Img000075.tif,6.19
grayscale_Img000076.tif,6.18
grayscale_Img000077.tif,5.58
grayscale_Img000078.tif,5.73
grayscale_Img000079.tif,6.49
grayscale_Img000080.tif,6.79
grayscale_Img000081.tif,6.33
grayscale_Img000082.tif,5.43
grayscale_Img000083.tif,5.58
grayscale_Img000084.tif,6.19
grayscale_Img000085.tif,6.49
grayscale_Img000086.tif,6.64
grayscale_Img000087.tif,5.73
grayscale_Img000088.tif,5.58
grayscale_Img000089.tif,5.58
grayscale_Img000090.tif,5.58
grayscale_Img000091.tif,5.73
grayscale_Img000092.tif,5.74
grayscale_Img000093.tif,5.28
