Image,Angle (degrees)
grayscale_Img000187.tif,10.92
grayscale_Img000188.tif,10.76
grayscale_Img000189.tif,10.61
grayscale_Img000190.tif,10.91
grayscale_Img000191.tif,11.36
grayscale_Img000192.tif,12.1
grayscale_Img000193.tif,12.69
grayscale_Img000194.tif,13.43
grayscale_Img000195.tif,14.03
grayscale_Img000196.tif,13.88
grayscale_Img000197.tif,13.72
grayscale_Img000198.tif,13.72
grayscale_Img000199.tif,13.43
grayscale_Img000200.tif,13.88
grayscale_Img000201.tif,14.63
grayscale_Img000202.tif,14.05
grayscale_Img000203.tif,13.91
grayscale_Img000204.tif,9.86
grayscale_Img000205.tif,9.56
grayscale_Img000206.tif,10.01
grayscale_Img000207.tif,9.4
grayscale_Img000208.tif,9.7
grayscale_Img000209.tif,10.3
grayscale_Img000210.tif,11.19
grayscale_Img000211.tif,12.08
grayscale_Img000212.tif,12.22
grayscale_Img000213.tif,12.37
grayscale_Img000214.tif,12.52
grayscale_Img000215.tif,12.97
grayscale_Img000216.tif,12.52
grayscale_Img000217.tif,10.3
grayscale_Img000218.tif,9.7
grayscale_Img000219.tif,9.85
grayscale_Img000220.tif,10.3
grayscale_Img000221.tif,11.2
grayscale_Img000222.tif,11.06
grayscale_Img000223.tif,10.61
grayscale_Img000224.tif,10.76
grayscale_Img000225.tif,10.91
grayscale_Img000226.tif,12.24
grayscale_Img000227.tif,11.64
grayscale_Img000228.tif,11.79
grayscale_Img000229.tif,11.48
grayscale_Img000230.tif,12.38
grayscale_Img000231.tif,12.69
grayscale_Img000232.tif,13.14
grayscale_Img000233.tif,9.86
grayscale_Img000234.tif,10.32
grayscale_Img000235.tif,10.17
grayscale_Img000236.tif,10.01
grayscale_Img000237.tif,9.7
grayscale_Img000238.tif,9.85
grayscale_Img000239.tif,10.6
grayscale_Img000240.tif,11.35
grayscale_Img000241.tif,12.09
grayscale_Img000242.tif,12.09
grayscale_Img000243.tif,9.86
grayscale_Img000244.tif,10.01
grayscale_Img000245.tif,9.71
grayscale_Img000246.tif,9.86
grayscale_Img000247.tif,9.27
grayscale_Img000248.tif,9.72
grayscale_Img000249.tif,10.63
grayscale_Img000250.tif,11.08
grayscale_Img000251.tif,12.13
grayscale_Img000252.tif,12.88
grayscale_Img000253.tif,12.88
grayscale_Img000254.tif,12.28
grayscale_Img000255.tif,11.53
grayscale_Img000256.tif,11.97
grayscale_Img000257.tif,12.73
grayscale_Img000258.tif,12.88
grayscale_Img000259.tif,12.57
grayscale_Img000260.tif,11.34
grayscale_Img000261.tif,11.95
grayscale_Img000262.tif,10.76
grayscale_Img000263.tif,11.52
grayscale_Img000264.tif,11.38
grayscale_Img000265.tif,11.22
grayscale_Img000266.tif,11.98
grayscale_Img000267.tif,10.92
grayscale_Img000268.tif,11.07
grayscale_Img000269.tif,11.51
grayscale_Img000270.tif,9.53
grayscale_Img000271.tif,10.13
grayscale_Img000272.tif,10.58
grayscale_Img000273.tif,11.48
grayscale_Img000274.tif,12.54
grayscale_Img000275.tif,13.9
grayscale_Img000276.tif,14.51
grayscale_Img000277.tif,11.93
grayscale_Img000278.tif,12.08
grayscale_Img000279.tif,10.3
grayscale_Img000280.tif,10.31
grayscale_Img000281.tif,10.16
grayscale_Img000282.tif,10.01
grayscale_Img000283.tif,9.86
grayscale_Img000284.tif,10.01
grayscale_Img000285.tif,10.46
grayscale_Img000286.tif,10.77
grayscale_Img000287.tif,11.07
grayscale_Img000288.tif,11.36
grayscale_Img000289.tif,11.66
grayscale_Img000290.tif,12.26
grayscale_Img000291.tif,11.95
grayscale_Img000292.tif,12.38
grayscale_Img000293.tif,12.24
grayscale_Img000294.tif,12.09
grayscale_Img000295.tif,12.09
grayscale_Img000296.tif,10.3
grayscale_Img000297.tif,10.44
grayscale_Img000298.tif,10.14
grayscale_Img000299.tif,10.14
grayscale_Img000300.tif,10.29
grayscale_Img000301.tif,10.45
grayscale_Img000302.tif,9.86
grayscale_Img000303.tif,9.41
grayscale_Img000304.tif,10.32
grayscale_Img000305.tif,10.77
grayscale_Img000306.tif,11.22
grayscale_Img000307.tif,11.22
grayscale_Img000308.tif,10.01
grayscale_Img000309.tif,10.32
grayscale_Img000310.tif,11.97
grayscale_Img000311.tif,12.25
grayscale_Img000312.tif,12.69
grayscale_Img000313.tif,12.83
grayscale_Img000314.tif,13.13
grayscale_Img000315.tif,13.43
grayscale_Img000316.tif,14.49
grayscale_Img000317.tif,15.23
grayscale_Img000318.tif,13.72
grayscale_Img000319.tif,10.46
grayscale_Img000320.tif,10.77
grayscale_Img000321.tif,10.47
grayscale_Img000322.tif,10.77
grayscale_Img000323.tif,11.38
grayscale_Img000324.tif,11.68
grayscale_Img000325.tif,11.53
grayscale_Img000326.tif,9.85
grayscale_Img000327.tif,9.55
grayscale_Img000328.tif,10.31
grayscale_Img000329.tif,10.16
grayscale_Img000330.tif,9.55
grayscale_Img000331.tif,10.3
grayscale_Img000332.tif,10.9
grayscale_Img000333.tif,9.7
grayscale_Img000334.tif,10.16
grayscale_Img000335.tif,10.01
grayscale_Img000336.tif,8.95
grayscale_Img000337.tif,9.1
grayscale_Img000338.tif,9.41
grayscale_Img000339.tif,9.56
grayscale_Img000340.tif,9.86
grayscale_Img000341.tif,9.71
grayscale_Img000342.tif,9.7
grayscale_Img000343.tif,10.15
grayscale_Img000344.tif,10.6
grayscale_Img000345.tif,10.15
grayscale_Img000346.tif,10.9
grayscale_Img000347.tif,10.91
grayscale_Img000348.tif,10.45
grayscale_Img000349.tif,10.59
grayscale_Img000350.tif,10.14
grayscale_Img000351.tif,10.6
grayscale_Img000352.tif,10.6
grayscale_Img000353.tif,10.75
grayscale_Img000354.tif,10.59
grayscale_Img000355.tif,11.5
grayscale_Img000356.tif,10.74
grayscale_Img000357.tif,10.45
grayscale_Img000358.tif,12.24
grayscale_Img000359.tif,10.3
grayscale_Img000360.tif,10.6
grayscale_Img000361.tif,10.45
grayscale_Img000362.tif,12.08
grayscale_Img000363.tif,12.84
grayscale_Img000364.tif,11.07
grayscale_Img000365.tif,11.22
grayscale_Img000366.tif,9.85
grayscale_Img000367.tif,10.0
grayscale_Img000368.tif,10.31
grayscale_Img000369.tif,10.61
grayscale_Img000370.tif,10.6
grayscale_Img000371.tif,10.9
grayscale_Img000372.tif,10.76
grayscale_Img000373.tif,9.55
grayscale_Img000374.tif,8.95
grayscale_Img000375.tif,8.8
grayscale_Img000376.tif,8.95
grayscale_Img000377.tif,9.69
grayscale_Img000378.tif,10.14
grayscale_Img000379.tif,10.73
grayscale_Img000380.tif,11.63
grayscale_Img000381.tif,11.35
