Image,Angle (degrees)
grayscale_Img000187.tif,7.9
grayscale_Img000188.tif,7.14
grayscale_Img000189.tif,7.29
grayscale_Img000190.tif,6.84
grayscale_Img000191.tif,7.29
grayscale_Img000192.tif,6.84
grayscale_Img000193.tif,7.14
grayscale_Img000194.tif,6.84
grayscale_Img000195.tif,7.3
grayscale_Img000196.tif,7.6
grayscale_Img000197.tif,7.6
grayscale_Img000198.tif,7.3
grayscale_Img000199.tif,6.99
grayscale_Img000200.tif,7.6
grayscale_Img000201.tif,7.3
grayscale_Img000202.tif,7.9
grayscale_Img000203.tif,8.65
grayscale_Img000204.tif,8.35
grayscale_Img000205.tif,7.6
grayscale_Img000206.tif,7.14
grayscale_Img000207.tif,7.75
grayscale_Img000208.tif,8.05
grayscale_Img000209.tif,8.05
grayscale_Img000210.tif,6.84
grayscale_Img000211.tif,6.99
grayscale_Img000212.tif,7.9
grayscale_Img000213.tif,6.84
grayscale_Img000214.tif,6.54
grayscale_Img000215.tif,6.99
grayscale_Img000216.tif,7.45
grayscale_Img000217.tif,7.9
grayscale_Img000218.tif,8.2
grayscale_Img000219.tif,8.05
grayscale_Img000220.tif,6.84
grayscale_Img000221.tif,7.6
grayscale_Img000222.tif,7.44
grayscale_Img000223.tif,7.29
grayscale_Img000224.tif,7.6
grayscale_Img000225.tif,7.6
grayscale_Img000226.tif,6.69
grayscale_Img000227.tif,7.14
grayscale_Img000228.tif,7.45
grayscale_Img000229.tif,7.3
grayscale_Img000230.tif,7.45
grayscale_Img000231.tif,7.29
grayscale_Img000232.tif,7.45
grayscale_Img000233.tif,7.9
grayscale_Img000234.tif,7.45
grayscale_Img000235.tif,7.6
grayscale_Img000236.tif,7.45
grayscale_Img000237.tif,7.6
grayscale_Img000238.tif,7.6
grayscale_Img000239.tif,7.9
grayscale_Img000240.tif,8.05
grayscale_Img000241.tif,8.36
grayscale_Img000242.tif,8.05
grayscale_Img000243.tif,7.14
grayscale_Img000244.tif,7.44
grayscale_Img000245.tif,7.6
grayscale_Img000246.tif,8.2
grayscale_Img000247.tif,8.2
grayscale_Img000248.tif,7.45
grayscale_Img000249.tif,6.84
grayscale_Img000250.tif,7.9
grayscale_Img000251.tif,8.2
grayscale_Img000252.tif,7.9
grayscale_Img000253.tif,7.44
grayscale_Img000254.tif,6.99
grayscale_Img000255.tif,7.29
grayscale_Img000256.tif,7.45
grayscale_Img000257.tif,7.9
grayscale_Img000258.tif,7.89
grayscale_Img000259.tif,7.29
grayscale_Img000260.tif,6.99
grayscale_Img000261.tif,7.74
grayscale_Img000262.tif,7.29
grayscale_Img000263.tif,7.45
grayscale_Img000264.tif,8.2
grayscale_Img000265.tif,7.14
grayscale_Img000266.tif,7.74
grayscale_Img000267.tif,8.2
grayscale_Img000268.tif,6.99
grayscale_Img000269.tif,7.29
grayscale_Img000270.tif,7.59
grayscale_Img000271.tif,6.69
grayscale_Img000272.tif,7.6
grayscale_Img000273.tif,7.9
grayscale_Img000274.tif,6.99
grayscale_Img000275.tif,7.14
grayscale_Img000276.tif,6.84
grayscale_Img000277.tif,7.9
grayscale_Img000278.tif,7.9
grayscale_Img000279.tif,7.74
grayscale_Img000280.tif,7.3
grayscale_Img000281.tif,8.2
grayscale_Img000282.tif,7.75
grayscale_Img000283.tif,7.9
grayscale_Img000284.tif,8.05
grayscale_Img000285.tif,7.29
grayscale_Img000286.tif,7.75
grayscale_Img000287.tif,8.2
grayscale_Img000288.tif,7.9
grayscale_Img000289.tif,8.35
grayscale_Img000290.tif,6.99
grayscale_Img000291.tif,7.75
grayscale_Img000292.tif,7.14
grayscale_Img000293.tif,7.3
grayscale_Img000294.tif,8.05
grayscale_Img000295.tif,7.14
grayscale_Img000296.tif,7.45
grayscale_Img000297.tif,7.45
grayscale_Img000298.tif,7.15
grayscale_Img000299.tif,7.9
grayscale_Img000300.tif,8.05
grayscale_Img000301.tif,7.45
grayscale_Img000302.tif,7.6
grayscale_Img000303.tif,8.5
grayscale_Img000304.tif,7.45
grayscale_Img000305.tif,7.15
grayscale_Img000306.tif,7.45
grayscale_Img000307.tif,7.9
grayscale_Img000308.tif,7.14
grayscale_Img000309.tif,8.35
grayscale_Img000310.tif,8.05
grayscale_Img000311.tif,7.75
grayscale_Img000312.tif,8.35
grayscale_Img000313.tif,8.8
grayscale_Img000314.tif,8.05
grayscale_Img000315.tif,8.5
grayscale_Img000316.tif,7.6
grayscale_Img000317.tif,7.6
grayscale_Img000318.tif,7.6
grayscale_Img000319.tif,7.9
grayscale_Img000320.tif,8.2
grayscale_Img000321.tif,7.45
grayscale_Img000322.tif,7.44
grayscale_Img000323.tif,7.29
grayscale_Img000324.tif,7.74
grayscale_Img000325.tif,7.14
grayscale_Img000326.tif,7.3
grayscale_Img000327.tif,8.05
grayscale_Img000328.tif,8.05
grayscale_Img000329.tif,7.45
grayscale_Img000330.tif,7.3
grayscale_Img000331.tif,8.2
grayscale_Img000332.tif,8.35
grayscale_Img000333.tif,7.14
grayscale_Img000334.tif,7.45
grayscale_Img000335.tif,7.6
grayscale_Img000336.tif,9.26
grayscale_Img000337.tif,8.81
grayscale_Img000338.tif,7.9
grayscale_Img000339.tif,7.75
grayscale_Img000340.tif,7.3
grayscale_Img000341.tif,7.75
grayscale_Img000342.tif,7.75
grayscale_Img000343.tif,7.45
grayscale_Img000344.tif,6.99
grayscale_Img000345.tif,7.9
grayscale_Img000346.tif,7.75
grayscale_Img000347.tif,7.6
grayscale_Img000348.tif,7.91
grayscale_Img000349.tif,8.21
grayscale_Img000350.tif,8.51
grayscale_Img000351.tif,8.05
grayscale_Img000352.tif,8.05
grayscale_Img000353.tif,7.75
grayscale_Img000354.tif,8.21
grayscale_Img000355.tif,8.05
grayscale_Img000356.tif,8.21
grayscale_Img000357.tif,8.36
grayscale_Img000358.tif,8.2
grayscale_Img000359.tif,7.6
grayscale_Img000360.tif,7.9
grayscale_Img000361.tif,7.9
grayscale_Img000362.tif,8.05
grayscale_Img000363.tif,9.41
grayscale_Img000364.tif,7.9
grayscale_Img000365.tif,8.05
grayscale_Img000366.tif,6.99
grayscale_Img000367.tif,7.45
grayscale_Img000368.tif,7.9
grayscale_Img000369.tif,8.36
grayscale_Img000370.tif,7.6
grayscale_Img000371.tif,7.6
grayscale_Img000372.tif,7.75
grayscale_Img000373.tif,7.44
grayscale_Img000374.tif,7.74
grayscale_Img000375.tif,8.05
grayscale_Img000376.tif,7.45
grayscale_Img000377.tif,7.6
grayscale_Img000378.tif,7.3
grayscale_Img000379.tif,7.75
grayscale_Img000380.tif,8.5
grayscale_Img000381.tif,8.2
grayscale_Img000382.tif,8.35
grayscale_Img000383.tif,8.51
grayscale_Img000384.tif,8.5
grayscale_Img000385.tif,7.45
grayscale_Img000386.tif,7.3
grayscale_Img000387.tif,7.6
grayscale_Img000388.tif,8.35
grayscale_Img000389.tif,8.05
grayscale_Img000390.tif,8.35
grayscale_Img000391.tif,8.2
grayscale_Img000392.tif,8.05
grayscale_Img000393.tif,7.9
grayscale_Img000394.tif,8.2
grayscale_Img000395.tif,8.65
grayscale_Img000396.tif,8.05
grayscale_Img000397.tif,9.11
grayscale_Img000398.tif,9.11
grayscale_Img000399.tif,8.5
grayscale_Img000400.tif,8.35
grayscale_Img000401.tif,7.3
grayscale_Img000402.tif,7.6
grayscale_Img000403.tif,8.5
grayscale_Img000404.tif,8.2
grayscale_Img000405.tif,8.81
grayscale_Img000406.tif,9.11
grayscale_Img000407.tif,9.12
grayscale_Img000408.tif,9.57
grayscale_Img000409.tif,8.35
grayscale_Img000410.tif,8.95
grayscale_Img000411.tif,8.66
grayscale_Img000412.tif,8.2
grayscale_Img000413.tif,9.11
grayscale_Img000414.tif,8.65
grayscale_Img000415.tif,8.96
grayscale_Img000416.tif,8.36
grayscale_Img000417.tif,8.05
grayscale_Img000418.tif,7.9
grayscale_Img000419.tif,7.9
grayscale_Img000420.tif,8.2
grayscale_Img000421.tif,7.9
grayscale_Img000422.tif,8.05
grayscale_Img000423.tif,8.65
grayscale_Img000424.tif,8.66
grayscale_Img000425.tif,8.66
grayscale_Img000426.tif,8.96
grayscale_Img000427.tif,8.96
grayscale_Img000428.tif,8.66
grayscale_Img000429.tif,9.86
grayscale_Img000430.tif,9.86
grayscale_Img000431.tif,8.81
grayscale_Img000432.tif,9.26
grayscale_Img000433.tif,8.51
grayscale_Img000434.tif,8.81
grayscale_Img000435.tif,7.6
grayscale_Img000436.tif,8.51
grayscale_Img000437.tif,8.96
grayscale_Img000438.tif,8.5
grayscale_Img000439.tif,8.5
grayscale_Img000440.tif,9.1
grayscale_Img000441.tif,9.11
grayscale_Img000442.tif,8.35
grayscale_Img000443.tif,7.9
grayscale_Img000444.tif,8.5
grayscale_Img000445.tif,8.5
grayscale_Img000446.tif,8.65
grayscale_Img000447.tif,8.36
grayscale_Img000448.tif,7.75
grayscale_Img000449.tif,8.66
grayscale_Img000450.tif,8.2
grayscale_Img000451.tif,8.35
grayscale_Img000452.tif,8.5
grayscale_Img000453.tif,8.66
grayscale_Img000454.tif,8.5
grayscale_Img000455.tif,7.9
grayscale_Img000456.tif,8.81
grayscale_Img000457.tif,7.9
grayscale_Img000458.tif,8.2
grayscale_Img000459.tif,8.5
grayscale_Img000460.tif,7.9
grayscale_Img000461.tif,8.35
grayscale_Img000462.tif,8.8
grayscale_Img000463.tif,9.11
grayscale_Img000464.tif,8.8
grayscale_Img000465.tif,8.5
grayscale_Img000466.tif,8.66
grayscale_Img000467.tif,8.51
grayscale_Img000468.tif,7.3
grayscale_Img000469.tif,7.15
grayscale_Img000470.tif,8.35
grayscale_Img000471.tif,8.95
grayscale_Img000472.tif,8.2
grayscale_Img000473.tif,8.35
grayscale_Img000474.tif,7.9
grayscale_Img000475.tif,7.9
grayscale_Img000476.tif,7.9
grayscale_Img000477.tif,7.6
grayscale_Img000478.tif,7.9
grayscale_Img000479.tif,8.05
grayscale_Img000480.tif,8.81
grayscale_Img000481.tif,7.9
grayscale_Img000482.tif,8.35
grayscale_Img000483.tif,7.45
grayscale_Img000484.tif,7.75
grayscale_Img000485.tif,8.35
grayscale_Img000486.tif,8.66
grayscale_Img000487.tif,7.9
grayscale_Img000488.tif,8.05
grayscale_Img000489.tif,8.2
grayscale_Img000490.tif,8.2
grayscale_Img000491.tif,7.14
grayscale_Img000492.tif,7.45
grayscale_Img000493.tif,7.75
grayscale_Img000494.tif,7.6
grayscale_Img000495.tif,7.75
grayscale_Img000496.tif,8.35
