Image,Angle (degrees)
grayscale_Img000000.tif,11.27
grayscale_Img000001.tif,11.12
grayscale_Img000002.tif,11.12
grayscale_Img000003.tif,11.12
grayscale_Img000004.tif,11.12
grayscale_Img000005.tif,11.71
grayscale_Img000006.tif,11.71
grayscale_Img000007.tif,11.12
grayscale_Img000008.tif,10.98
grayscale_Img000009.tif,10.83
grayscale_Img000010.tif,10.98
grayscale_Img000011.tif,10.98
grayscale_Img000012.tif,10.98
grayscale_Img000013.tif,11.12
grayscale_Img000014.tif,11.27
grayscale_Img000015.tif,11.27
grayscale_Img000016.tif,11.56
grayscale_Img000017.tif,11.7
grayscale_Img000018.tif,10.83
grayscale_Img000019.tif,11.12
grayscale_Img000020.tif,11.41
grayscale_Img000021.tif,11.41
grayscale_Img000022.tif,12.13
grayscale_Img000023.tif,11.99
grayscale_Img000024.tif,11.71
grayscale_Img000025.tif,11.85
grayscale_Img000026.tif,11.99
grayscale_Img000027.tif,11.85
grayscale_Img000028.tif,10.98
grayscale_Img000029.tif,11.56
grayscale_Img000030.tif,11.42
grayscale_Img000031.tif,11.42
grayscale_Img000032.tif,10.83
grayscale_Img000033.tif,10.68
grayscale_Img000034.tif,10.83
grayscale_Img000035.tif,10.97
grayscale_Img000036.tif,10.83
grayscale_Img000037.tif,11.27
grayscale_Img000038.tif,11.27
grayscale_Img000039.tif,11.56
grayscale_Img000040.tif,11.27
grayscale_Img000041.tif,11.56
grayscale_Img000042.tif,11.7
grayscale_Img000043.tif,11.42
grayscale_Img000044.tif,11.12
grayscale_Img000045.tif,11.41
grayscale_Img000046.tif,11.71
grayscale_Img000047.tif,11.42
grayscale_Img000048.tif,11.42
grayscale_Img000049.tif,11.13
grayscale_Img000050.tif,10.98
grayscale_Img000051.tif,11.12
grayscale_Img000052.tif,11.42
grayscale_Img000053.tif,11.56
grayscale_Img000054.tif,11.56
grayscale_Img000055.tif,11.12
grayscale_Img000056.tif,11.12
grayscale_Img000057.tif,10.98
grayscale_Img000058.tif,11.27
grayscale_Img000059.tif,11.42
grayscale_Img000060.tif,11.42
grayscale_Img000061.tif,12.15
grayscale_Img000062.tif,12.44
grayscale_Img000063.tif,12.58
grayscale_Img000064.tif,12.29
grayscale_Img000065.tif,11.86
grayscale_Img000066.tif,11.13
grayscale_Img000067.tif,11.12
grayscale_Img000068.tif,11.56
grayscale_Img000069.tif,11.71
grayscale_Img000070.tif,11.56
grayscale_Img000071.tif,11.71
grayscale_Img000072.tif,12.15
grayscale_Img000073.tif,12.15
grayscale_Img000074.tif,12.0
grayscale_Img000075.tif,12.0
grayscale_Img000076.tif,12.73
grayscale_Img000077.tif,13.02
grayscale_Img000078.tif,12.58
grayscale_Img000079.tif,12.0
grayscale_Img000080.tif,12.0
grayscale_Img000081.tif,11.71
grayscale_Img000082.tif,11.57
grayscale_Img000083.tif,11.57
grayscale_Img000084.tif,11.42
grayscale_Img000085.tif,12.15
grayscale_Img000086.tif,12.58
grayscale_Img000087.tif,12.15
grayscale_Img000088.tif,12.44
